epoch,loss,running_cost,terminal_cost,cHJB,cHJBfin,cadj,cadjfin,time_per_epoch,grad_norm,lr,max_fp_itrs,max_fp_res_norm,memory_MB,max_memory_MB,gpu_memory_MB,gpu_max_memory_MB,work_units,max_grad_H,avg_grad_H,smallest_M_sdval,largest_M_sdval,smallest_lambda_min,largest_lambda_max,max_grad_T_u,avg_grad_T_u,sd_grad_T_u,angle,lin_residual,exploration_std
78,10.712102457880974,0.16808371245861053,2.1088037490844727,0.0,0.0,0.0,0.0,2.216046094894409,0.017356739135385196,0.001,26,6.461143493652344e-05,69.859375,69.859375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001353396965423599,0.23061098370904776
79,10.71051137149334,0.16813652217388153,2.1084749698638916,0.0,0.0,0.0,0.0,2.332979917526245,0.017251613060330084,0.001,26,7.2479248046875e-05,59.515625,59.515625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013631770224310459,0.22830487387195728
80,10.70895728468895,0.16835984587669373,2.108119487762451,0.0,0.0,0.0,0.0,2.302726984024048,0.017098321111437248,0.001,26,7.677078247070312e-05,61.515625,61.515625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001321632667677477,0.2260218251332377
81,10.70738223195076,0.1687493622303009,2.107726573944092,0.0,0.0,0.0,0.0,2.1834371089935303,0.016935090602202912,0.001,26,8.273124694824219e-05,60.03125,60.03125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013223375042434782,0.22376160688190533
82,10.705827802419662,0.16932281851768494,2.1073009967803955,0.0,0.0,0.0,0.0,2.0769460201263428,0.016745689128469566,0.001,26,8.821487426757812e-05,85.484375,85.484375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013011051050852984,0.22152399081308627
83,10.704193696379662,0.1700645536184311,2.106825828552246,0.0,0.0,0.0,0.0,2.1169209480285645,0.01660263851206158,0.001,26,8.988380432128906e-05,61.40625,61.40625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001294797866139561,0.2193087509049554
84,10.702564910054207,0.17096777260303497,2.1063194274902344,0.0,0.0,0.0,0.0,2.1103830337524414,0.016425829578196455,0.001,26,8.988380432128906e-05,62.15625,62.15625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0012806773628108203,0.21711566339590585
85,10.701027855277061,0.1720712035894394,2.1057913303375244,0.0,0.0,0.0,0.0,2.043264627456665,0.016193232193615084,0.001,26,9.012222290039062e-05,83.203125,83.203125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001266982719535008,0.2149445067619468
86,10.699524447321892,0.17311649024486542,2.1052815914154053,0.0,0.0,0.0,0.0,2.33160400390625,0.01592576632061481,0.001,26,8.845329284667969e-05,266.703125,266.703125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0012415332661475987,0.21279506169432733
87,10.698060438036919,0.17435137927532196,2.1047418117523193,0.0,0.0,0.0,0.0,2.0742969512939453,0.015662796498204058,0.001,26,8.654594421386719e-05,63.40625,63.40625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001231464804150164,0.21066711107738406
